Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_date,home_team,away_team,score,match_url,stat_type,squad_side,Birthdate
Gorka Guruzeta,12,ESP,Forward,27-338,90,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,9/11/1996
Alex Berenguer,7,ESP,Attacking Midfielder,29-042,71,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,7/4/1995
Nico Williams,10,ESP,Midfielder,22-034,19,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,7/12/2002
Oihan Sancet,8,ESP,Attacking Midfielder,24-112,90,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,4/24/2000
Inaki Williams,9,GHA,Attacking Midfielder,30-061,90,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,6/15/1994
Mikel Vesga,6,ESP,Defensive Midfielder,31-086,56,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,5/21/1993
Unai Gomez,20,ESP,Midfielder,21-082,34,0,0,0,0,0,0,1,0,1,1,0,4,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,5/25/2003
Benat Prados,24,ESP,Defensive Midfielder,23-189,56,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,2/7/2001
Ander Herrera,21,ESP,Midfielder,35-001,34,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,8/14/1989
Yuri Berchiche,17,ESP,Left Back,34-187,90,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,2/9/1990
Aitor Paredes,4,ESP,Centre-Back,24-108,80,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,4/28/2000
Daniel Vivian,3,ESP,Defender,25-031,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,7/15/1999
Yeray Alvarez,5,ESP,Centre-Back,29-204,90,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,1/23/1995
Andoni Gorosabel,2,ESP,Right Back,28-011,80,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,8/3/1996
Inigo Lekue,15,ESP,Defender / Midfielder,31-103,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,5/4/1993
Alex Padilla,26,ESP,Goalkeeper,20-349,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,9/1/2003
16 Players,,,,,990,1,1,0,0,7,4,4,0,15,12,2,16,3,4,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,home,
Christantus Uche,6,NGA,Forward,21-088,90,1,0,0,0,1,1,1,0,2,4,4,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,5/19/2003
Alex Sola,7,ESP,Left Winger,25-067,78,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,6/9/1999
Yellu Santiago,20,ESP,Midfielder,20-082,12,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,5/24/2004
Mauro Arambarri,8,URU,Attacking Midfielder,28-320,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,9/30/1995
Carles Alena,11,ESP,Midfielder,26-223,51,0,0,0,0,1,1,0,0,2,2,2,3,2,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,1/5/1998
Luis Milla,5,ESP,Attacking Midfielder,29-313,90,0,1,0,0,0,0,0,0,2,1,0,8,0,1,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,10/7/1994
Carles Perez,17,ESP,Right Winger,26-181,45,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,2/15/1998
Peter Gonzalez,19,DOM,Midfielder,22-021,45,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,7/25/2002
Nabil Aberdin,27,FRA,Defensive Midfielder,21-358,90,0,0,0,0,1,0,0,0,2,1,0,0,4,1,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,8/23/2002
Diego Rico,16,ESP,Left Back,31-174,90,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,2/22/1993
Omar Alderete,15,PAR,Centre-Back,27-233,90,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,12/25/1996
Djene,2,TOG,Centre-Back,32-228,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,12/30/1991
Iglesias,21,ESP,Right Back,26-043,90,0,0,0,0,0,0,0,0,0,0,0,1,4,6,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,7/3/1998
David Soria,13,ESP,Goalkeeper,31-133,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,4/4/1993
14 Players,,,,,990,1,1,0,0,9,2,1,0,12,14,6,13,13,10,0,,,"Thursday August 15, 2024",Athletic Club,Getafe,1-Jan,"Almería, Spain",summary,away,
Aitor Ruibal,24,ESP,Forward,28-146,69,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Almería, Spain",summary,home,3/21/1996
