Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_date,home_team,away_team,score,match_url,stat_type,squad_side,Birthdate
Ezequiel Avila,9,ARG,Forward / Midfielder,30-191,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Almería, Spain",summary,home,2/5/1994
Juanmi,7,ESP,Attacking Midfielder,31-087,58,0,0,0,0,1,0,0,0,1,1,0,1,2,1,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,5/20/1993
Abde Ezzalzouli,10,MAR,Forward / Midfielder,22-242,32,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,12/16/2001
Nabil Fekir,8,FRA,Attacking Midfielder,31-028,90,0,1,0,0,2,0,0,0,1,3,0,6,2,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,7/18/1993
Pablo Fornals,18,ESP,Attacking Midfielder,28-175,58,0,0,0,0,2,0,0,0,1,0,0,2,1,2,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,2/21/1996
Rodri,17,ESP,Midfielder,24-091,32,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,5/15/2000
Marc Roca,21,ESP,Defensive Midfielder,27-263,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,11/24/1996
Sergi Altimira,16,ESP,Midfielder,22-356,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,8/25/2001
William Carvalho,14,POR,Defensive Midfielder,32-130,76,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,4/6/1992
Johnny Cardoso,4,USA,Midfielder,22-330,14,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,9/20/2001
Romain Perraud,15,FRA,Left Back,26-328,90,0,0,0,0,2,0,1,0,2,1,1,2,1,1,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,9/22/1997
Diego Llorente,3,ESP,Centre-Back,30-365,90,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,8/16/1993
Marc Bartra,5,ESP,Centre-Back,33-213,90,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,1/15/1991
Youssouf Sabaly,23,SEN,Right Back,31-163,90,0,0,0,0,2,0,0,0,1,0,0,2,0,1,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,3/5/1993
Rui Silva,1,POR,Goalkeeper,30-190,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,2/6/1994
16 Players,,,,,990,1,1,0,0,19,4,2,0,11,7,1,15,11,13,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,home,
Portu,24,ESP,Forward,32-086,65,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,5/20/1992
Iker Almena,30,ESP,Midfielder,20-103,25,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,5/3/2004
Abel Ruiz,9,ESP,Forward,24-200,80,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,1/27/2000
Ladislav Krejci,18,CZE,Defender / Midfielder,25-117,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,4/20/1999
Bryan Gil,20,ESP,Forward,23-186,80,0,0,0,0,4,1,0,0,1,2,0,5,2,1,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,2/10/2001
Cristhian Stuani,7,URU,Forward / Midfielder,37-308,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,10/12/1986
Ivan Martin,23,ESP,Central Midfielder,25-183,90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,2/13/1999
Oriol Romeu,14,ESP,Central Midfielder,32-326,65,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,9/24/1991
Jhon Solis,22,COL,Midfielder,19-317,25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,10/2/2004
Yangel Herrera,21,VEN,Central Midfielder,26-214,70,0,0,0,0,1,0,0,0,2,1,0,6,5,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,1/14/1998
Gabriel Osei Misehouy,27,NED,Midfielder,19-028,20,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,7/18/2005
Miguel Gutierrez,3,ESP,Left Back,23-019,90,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,7/27/2001
Daley Blind,17,NED,Centre-Back,34-159,90,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,3/9/1990
David Lopez,5,ESP,Centre-Back,34-311,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,10/9/1989
Arnau Martinez,4,ESP,Right Back,21-112,90,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,4/25/2003
Paulo Gazzaniga,13,ARG,Goalkeeper,32-226,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,1/1/1992
16 Players,,,,,990,1,1,0,0,13,2,0,0,7,10,3,23,12,10,0,,,"Thursday August 15, 2024",Real Betis,Girona,1-Jan,"Seville, Spain",summary,away,
Anastasios Douvikas,9,GRE,Forward,25-014,77,0,0,0,0,0,0,0,0,1,8,1,1,0,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,8/2/1999
Borja Iglesias,7,ESP,Forward,31-212,13,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,1/16/1993
Iago Aspas,10,ESP,Forward,37-015,90,1,0,0,0,3,2,1,0,1,3,1,0,0,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,8/1/1987
Jonathan Bamba,17,CIV,Left Midfielder,28-143,45,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,3/25/1996
Jailson Siqueira,16,BRA,Defender / Midfielder,28-344,45,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,9/7/1995
Fran Beltran,8,ESP,Central Midfielder,25-195,64,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,2/2/1999
Ilaix Moriba,6,GUI,Midfielder,21-210,26,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,1/19/2003
Damian Rodriguez,28,ESP,Central Midfielder,21-152,90,0,0,0,0,0,0,1,0,1,1,0,2,0,3,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,3/17/2003
Hugo Alvarez,30,ESP,Right Midfielder,21-045,90,0,1,0,0,0,0,0,0,2,2,0,2,1,1,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,7/2/2003
Oscar Mingueza,3,ESP,Left Back,25-095,90,0,0,0,0,1,1,0,0,0,0,0,5,2,1,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,5/13/1999
Carlos Dominguez,24,ESP,Centre-Back,23-187,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,2/10/2001
Carl Starfelt,2,SWE,Centre-Back,29-076,45,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,6/1/1995
Williot Swedberg,19,SWE,Forward / Midfielder,20-197,45,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,1/31/2004
Javier Manquillo,22,ESP,Right Back,30-103,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,5/5/1994
Javi Rodriguez,32,ESP,Defender,21-051,45,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,6/26/2003
Ivan Villar,1,ESP,Goalkeeper,27-038,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,7/9/1997
16 Players,,,,,990,2,2,0,0,6,4,2,0,8,22,4,13,9,12,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,home,
Kike,17,ESP,Forward,34-265,79,1,0,0,0,4,1,0,0,2,0,0,0,1,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,11/25/1989
Asier Villalibre,9,ESP,Forward,26-321,11,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,9/30/1997
Tomas Conechny,10,ARG,Attacking Midfielder,26-139,67,0,0,0,0,0,0,1,0,1,1,0,4,1,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,3/30/1998
Luis Rioja,11,ESP,Forward / Midfielder,30-305,23,0,0,0,0,0,0,0,0,1,1,0,6,1,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,10/16/1993
Jon Guridi,18,ESP,Attacking Midfielder,29-170,67,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,2/27/1995
Stoichkov,19,ESP,Forward / Midfielder,30-285,23,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,11/4/1993
Luka Romero,20,ARG,Attacking Midfielder,19-272,57,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,11/16/2004
Hugo Novoa,16,ESP,Midfielder,21-228,33,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,12/31/2002
Antonio Blanco,8,ESP,Defensive Midfielder,24-024,90,0,1,0,0,2,0,0,0,4,3,0,0,1,2,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,7/22/2000
Ander Guevara,6,ESP,Defensive Midfielder,27-040,79,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,7/7/1997
Carlos Benavidez,23,URU,Midfielder,26-139,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,3/30/1998
Moussa Diarra,22,MLI,Left Back,23-280,90,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,11/9/2000
Nahuel Tenaglia,14,ARG,Centre-Back,28-177,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,2/20/1996
Abdel Abqar,5,MAR,Centre-Back,25-159,90,0,0,0,0,0,0,1,0,8,0,0,0,1,2,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,3/10/1999
Carlos Vicente,7,ESP,Right Back,25-115,90,0,0,0,0,0,0,0,0,0,0,1,4,2,2,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,4/23/1999
Antonio Sivera,1,ESP,Goalkeeper,28-005,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,8/10/1996
16 Players,,,,,990,1,1,0,0,10,2,2,0,23,6,3,19,13,8,0,,,"Friday August 16, 2024",Celta Vigo,Alavés,1-Feb,"San Sebastián, Spain",summary,away,
Oliver McBurnie,16,SCO,Forward,28-073,86,0,0,0,0,1,1,0,0,1,2,0,0,1,1,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,6/3/1996
Marc Cardona,9,ESP,Forward,29-039,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,7/8/1995
Alberto Moleiro,10,ESP,Attacking Midfielder,20-321,86,0,0,0,0,5,3,0,0,1,0,0,2,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,9/30/2003
Aboubacar Bassinga,26,CIV,Midfielder,19-034,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,7/13/2005
Javier Munoz,5,ESP,Attacking Midfielder,29-170,90,0,1,0,0,2,0,0,0,0,2,0,2,0,1,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,2/27/1995
Jaime Mata,17,ESP,Attacking Midfielder,35-297,67,0,0,0,0,1,0,0,0,2,1,0,5,0,1,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,10/23/1988
Sandro Ramirez,19,ESP,Forward / Midfielder,29-038,23,1,0,0,0,2,1,0,0,0,2,0,1,0,2,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,7/9/1995
Kirian Rodriguez,20,ESP,Defensive Midfielder,28-164,90,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,3/4/1996
Enzo Loiodice,12,FRA,Defensive Midfielder,23-263,68,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,11/26/2000
Manuel Fuster,14,ESP,Forward / Midfielder,26-299,22,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,10/22/1997
Alex Munoz,23,ESP,Left Back,30-017,68,0,0,0,0,1,0,0,0,3,2,0,6,5,2,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,7/30/1994
Scott McKenna,15,SCO,Defender,27-278,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,11/11/1996
Mika Marmol,3,ESP,Centre-Back,23-046,90,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,7/1/2001
Alex Suarez,4,ESP,Centre-Back,31-151,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,3/18/1993
Marvin,2,ESP,Right Back,24-044,75,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,7/2/2000
Viti,18,ESP,Defender / Forward,26-335,15,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,9/16/1997
Jasper Cillessen,1,NED,Goalkeeper,35-116,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,4/22/1989
17 Players,,,,,990,1,1,0,0,15,5,2,0,14,13,1,27,9,9,1,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,home,
Isaac Romero,7,ESP,Forward,24-090,82,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,away,5/17/2000
Peque,14,ESP,Midfielder,21-317,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,away,10/4/2002
Dodi Lukebakio,11,BEL,Attacking Midfielder,26-327,73,0,0,0,0,2,0,0,0,3,2,0,4,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,away,9/24/1997
Jesus Navas,16,ESP,Defender / Midfielder,38-269,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,"Friday August 16, 2024",Las Palmas,Sevilla,2-Feb,"Las Palmas, Spain",summary,away,11/20/1985
